report_id,word
2,dog
2,dog
2,dog
2,bear
2,bear
2,bear
2,fly
4,robin
4,robin
4,robin
4,robin
5,goose
5,goose
5,goose
5,goose
6,bat
6,bat
8,bear
8,bear
8,bear
8,bear
10,goose
10,goose
10,goose
10,goose
11,goose
11,goose
11,goose
11,goose
11,dog
11,dog
11,dog
11,dog
11,dog
11,goose
11,goose
11,goose
13,dog
13,chicken
14,molly
14,cat
14,dog
15,cat
15,dog
20,dog
20,dog
20,dog
20,dog
20,dog
20,dog
20,dog
20,dog
20,dog
22,donkey
22,dog
22,dog
24,pike
24,bear
26,fly
26,dog
26,dog
26,dog
26,dog
26,dog
26,ferret
26,dog
27,dog
27,dog
27,dog
31,bear
32,horse
32,cat
32,horse
32,cat
32,dog
32,cat
32,horse
33,dog
33,cat
33,horse
33,cat
33,horse
33,dog
33,heron
36,dog
36,dog
36,dog
36,dog
36,dog
36,dog
36,dog
36,dog
36,dog
36,dog
36,dog
36,dog
36,dog
36,dog
37,bear
37,dog
37,dog
37,dog
37,dog
37,dog
37,dog
37,dog
37,dog
37,dog
37,dog
37,dog
37,dog
37,dog
39,turkey
43,ant
43,discus
44,dog
44,dog
44,bear
45,molly
46,cat
46,dog
46,bear
48,bear
49,dog
49,oyster
50,dog
51,skunk
51,skunk
53,bird
54,bear
54,duck
54,duck
55,swan
55,swan
56,horse
56,horse
56,bear
57,swan
59,bear
59,chicken
59,bear
60,bird
62,dog
63,horse
63,horse
63,horse
63,dog
63,horse
63,horse
63,horse
63,horse
63,horse
63,horse
63,horse
63,horse
63,horse
63,bat
63,fox
63,dog
63,dog
63,dog
63,dog
63,horse
63,dog
63,horse
63,horse
65,dog
65,dog
65,horse
65,horse
65,fish
66,dog
66,dog
66,dog
66,dog
67,bear
67,pointer
67,bear
67,bear
68,bear
68,goose
68,goose
68,goose
68,dog
69,dog
69,dog
69,dog
69,dog
69,dog
70,bear
71,dog
71,dog
71,cat
71,cat
71,cat
71,discus
71,discus
72,elephant
73,duck
73,bear
73,dog
73,dog
74,molly
77,dog
78,fly
78,dog
80,dog
81,fish
82,seal
82,dog
82,turkey
84,bear
84,molly
85,fly
87,dog
90,swan
91,cat
91,cat
91,cat
91,cat
91,cat
91,cat
91,bird
91,bear
91,cat
91,cat
91,cat
91,cat
91,cat
91,bear
92,dog
92,dog
92,dog
92,dog
92,dog
92,dog
92,dog
98,bear
99,bear
99,bear
100,swan
102,robin
102,dog
102,dog
103,dog
103,dog
104,penguin
104,duck
106,dog
106,bear
106,bear
107,cat
109,dog
109,dog
110,fish
110,fish
110,fox
110,fish
113,goose
113,goose
113,goose
113,goose
113,dog
113,goose
113,goose
113,goose
115,dog
115,dog
115,dog
115,dog
116,dog
117,pig
118,cat
118,cat
118,cat
118,cat
118,dog
118,dog
118,dog
118,dog
118,dog
118,dog
118,dog
118,dog
118,dog
118,dog
118,dog
118,dog
118,dog
118,dog
121,dog
121,hamster
121,dog
121,hamster
122,skunk
122,dog
123,pheasant
123,pheasant
123,pheasant
123,sheep
124,horse
124,dog
124,dog
126,seal
134,goose
134,goose
134,goose
134,goose
134,goose
134,booby
134,booby
134,dog
134,booby
134,booby
134,dog
134,dog
136,bird
136,dog
136,bat
136,bat
136,dog
136,bat
136,dog
137,horse
137,horse
137,dog
137,dog
137,dog
139,bear
140,bear
142,penguin
144,bear
145,cow
147,bear
147,bear
148,fox
151,bear
151,cat
151,bear
152,monkey
152,monkey
154,molly
155,cat
155,cat
159,otter
160,chicken
160,sheep
162,cat
163,rottweiler
163,dog
163,elephant
163,rabbit
167,fish
167,turkey
169,cat
169,cat
171,nightingale
172,dog
172,dog
172,dog
172,dog
172,dog
172,dog
173,cat
174,cat
174,cat
174,cat
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
177,molly
178,dog
178,fly
179,badger
